id,name,category,price_ugx,price_high_ugx,condition,availability,note
iphone-17-pro-max,iPhone 17 Pro Max,Mobiles,,,,,
iphone-17-pro,iPhone 17 Pro,Mobiles,,,,,
iphone-17,iPhone 17,Mobiles,,,,,
iphone-17-orange,iPhone 17 Pro — Cosmic Orange,Mobiles,,,,,
galaxy-s26-ultra,Samsung Galaxy S26 Ultra,Mobiles,,,,,
galaxy-s26-ultra-black,Samsung Galaxy S26 Ultra — Black,Mobiles,,,,,
iphone-16-plus,iPhone 16 Plus,Mobiles,,,,,
iphone-15-pro-used,iPhone 15 Pro — Certified,Mobiles,,,,,
iphone-14-pro-used,iPhone 14 Pro — Certified,Mobiles,,,,,
galaxy-s25,Galaxy S25,Mobiles,,,,,
galaxy-z-fold8-ultra,Galaxy Z Fold8 Ultra,Mobiles,,,,,
galaxy-z-fold8,Galaxy Z Fold8,Mobiles,,,,,
galaxy-z-flip8,Galaxy Z Flip8,Mobiles,,,,,
airpods-max,AirPods Max,Audio,,,,,
bose-qc-ultra,Bose QuietComfort Ultra Headphones,Audio,,,,,
watch-ultra-3,Apple Watch Ultra 3 — 49mm Titanium,Smart Watches,,,,,
galaxy-watch-8,Samsung Galaxy Watch8 44mm — Silver,Smart Watches,,,,,
switch-2,Nintendo Switch 2,Gaming,,,,,
ps5-pro,PlayStation 5 Pro,Gaming,,,,,
elite-controller,Elite Wireless Controller,Gaming,,,,,
retro-handhelds,Retro Handheld Collection,Gaming,,,,,
canon-r6ii,Canon EOS R6 Mark II,Cameras,,,,,
gopro-hero13,GoPro HERO13 Black,Cameras,,,,,
aramid-fibre-case,PITAKA Aramid Fibre Case,Accessories,,,,,
magsafe-powerbank,MagSafe Power Bank 10K,Accessories,,,,,
clear-armor-case,UniCraft Clear Armor Case,Accessories,,,,,
slim-case-trio,Peel Slim Case — 3 Pack,Accessories,,,,,
hp-omnibook-x-flip-14-fm0013dx,HP OmniBook X Flip 14-fm0013dx,Laptops,,,,,
macbook-air-13-m5,MacBook Air 13-inch — M5,Laptops,,,,,
macbook-air-15-m5,MacBook Air 15-inch — M5,Laptops,,,,,
macbook-pro-14-m5,MacBook Pro 14-inch — M5,Laptops,,,,,
macbook-pro-14-m5-pro,MacBook Pro 14-inch — M5 Pro,Laptops,,,,,
macbook-pro-16-m5-max,MacBook Pro 16-inch — M5 Max,Laptops,,,,,
ipad-pro-11-m5,iPad Pro 11-inch — M5,iPads & Tablets,,,,,
ipad-pro-13-m5,iPad Pro 13-inch — M5,iPads & Tablets,,,,,
ipad-air-11-m4,iPad Air 11-inch — M4,iPads & Tablets,,,,,
ipad-air-13-m4,iPad Air 13-inch — M4,iPads & Tablets,,,,,
ipad-mini-a17-pro,iPad mini — A17 Pro,iPads & Tablets,,,,,
ipad-11-a16,iPad 11-inch — A16,iPads & Tablets,,,,,
creed-viking-cologne,Creed Viking Cologne,Fragrance & Grooming,,,,,
creed-aventus-cologne,Creed Aventus Cologne,Fragrance & Grooming,,,,,
creed-bois-du-portugal,Creed Bois du Portugal,Fragrance & Grooming,,,,,
creed-original-vetiver,Creed Original Vetiver,Fragrance & Grooming,,,,,
creed-himalaya,Creed Himalaya,Fragrance & Grooming,,,,,
creed-erolfa,Creed Erolfa,Fragrance & Grooming,,,,,
bleu-de-chanel-edp,Bleu de Chanel Eau de Parfum,Fragrance & Grooming,,,,,
dior-sauvage-edp,Dior Sauvage Eau de Parfum,Fragrance & Grooming,,,,,
